,All races,All races,All races,White,White,White,Black,Black,Black,"Other (American Indian/AK Native, Asian/Pacific Islander)","Other (American Indian/AK Native, Asian/Pacific Islander)","Other (American Indian/AK Native, Asian/Pacific Islander)",Other unspecified (1978-1991),Other unspecified (1978-1991),Other unspecified (1978-1991)
,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop
Alabama,51.4,"3,409","7,728,788",40.9,"2,193","5,903,814",105.3,"1,205","1,681,157",18.3,11,"143,817",^,^,0
  AL: Autauga County (01001),57.8,38,"88,452",48.1,27,"73,449",126.2,11,"13,797",^,^,"1,206",^,^,0
  AL: Baldwin County (01003),47.1,165,"353,447",40.3,133,"323,105",208,32,"25,234",^,^,"5,108",^,^,0
  AL: Barbour County (01005),58.2,23,"46,846",42.1,11,"27,478",91.6,12,"18,948",^,^,420,^,^,0
  AL: Bibb County (01007),41.6,12,"39,522",^,^,"31,341",^,^,"7,974",^,^,207,^,^,0
  AL: Blount County (01009),40.1,34,"98,768",41.2,34,"96,290",^,^,"1,525",^,^,953,^,^,0
  AL: Bullock County (01011),81.3,11,"19,101",^,^,"6,699",^,^,"12,258",^,^,144,^,^,0
  AL: Butler County (01013),63.2,20,"31,581",46.6,10,"20,137",99.6,10,"11,048",^,^,396,^,^,0
  AL: Calhoun County (01015),47.2,75,"185,779",42.5,60,"152,915",93.9,15,"30,192",^,^,"2,672",^,^,0
  AL: Chambers County (01017),59.2,32,"59,135",41.8,16,"38,433",112.1,16,"19,994",^,^,708,^,^,0
  AL: Cherokee County (01019),40.8,18,"49,420",41,17,"46,914",^,^,"2,058",^,^,448,^,^,0
  AL: Chilton County (01021),35.1,21,"72,045",36.1,20,"65,232",^,^,"6,192",^,^,621,^,^,0
  AL: Choctaw County (01023),^,^,"24,302",^,^,"14,749",^,^,"9,487",^,^,66,^,^,0
  AL: Clarke County (01025),88.6,33,"41,399",72.3,18,"25,716",131.7,15,"15,399",^,^,284,^,^,0
  AL: Clay County (01027),60.3,15,"25,131",64.6,14,"21,884",^,^,"3,100",^,^,147,^,^,0
  AL: Cleburne County (01029),45.6,12,"26,399",40.9,11,"25,433",^,^,840,^,^,126,^,^,0
  AL: Coffee County (01031),48.1,36,"82,588",45,28,"67,038",^,^,"13,344",^,^,"2,206",^,^,0
  AL: Colbert County (01033),45.8,45,"94,871",39.3,33,"80,489",93.4,12,"13,411",^,^,971,^,^,0
  AL: Conecuh County (01035),^,^,"22,610",^,^,"13,909",^,^,"8,551",^,^,150,^,^,0
  AL: Coosa County (01037),50.1,10,"22,465",^,^,"16,037",^,^,"6,256",^,^,172,^,^,0
  AL: Covington County (01039),42.7,29,"66,218",39.8,25,"59,033",^,^,"6,411",^,^,774,^,^,0
  AL: Crenshaw County (01041),55.2,12,"23,248",62,10,"17,933",^,^,"4,955",^,^,360,^,^,0
  AL: Cullman County (01043),44.2,55,"141,727",45,55,"138,632",^,^,"1,588",^,^,"1,507",^,^,0
  AL: Dale County (01045),42.9,29,"77,261",38.4,23,"63,404",^,^,"12,467",^,^,"1,390",^,^,0
  AL: Dallas County (01047),75.8,43,"63,722",39.9,11,"24,895",116.7,32,"38,296",^,^,531,^,^,0
  AL: DeKalb County (01049),27.8,31,"115,893",27.9,30,"111,155",^,^,"1,940",^,^,"2,798",^,^,0
  AL: Elmore County (01051),53.9,52,"130,743",50.6,44,"108,223",^,^,"21,105",^,^,"1,415",^,^,0
  AL: Escambia County (01053),51,32,"65,137",36.3,18,"44,590",120.1,14,"18,192",^,^,"2,355",^,^,0
  AL: Etowah County (01055),49.2,78,"175,904",42.3,60,"151,816",114.3,17,"21,381",^,^,"2,707",^,^,0
  AL: Fayette County (01057),72.4,21,"30,078",64.5,16,"26,692",^,^,"3,194",^,^,192,^,^,0
  AL: Franklin County (01059),32.4,17,"51,766",31.2,16,"48,620",^,^,"2,357",^,^,789,^,^,0
  AL: Geneva County (01061),35.2,18,"47,787",35.9,17,"43,099",^,^,"4,018",^,^,670,^,^,0
  AL: Greene County (01063),^,^,"13,879",^,^,"3,527",^,^,"10,282",^,^,70,^,^,0
  AL: Hale County (01065),86.4,19,"24,559",^,^,"12,050",169.6,17,"12,400",^,^,109,^,^,0
  AL: Henry County (01067),36.1,12,"30,609",^,^,"22,881",^,^,"7,461",^,^,267,^,^,0
  AL: Houston County (01069),42.8,64,"165,497",34,41,"129,554",90,23,"33,742",^,^,"2,201",^,^,0
  AL: Jackson County (01071),52.2,43,"94,954",48.8,39,"89,959",^,^,"2,994",^,^,"2,001",^,^,0
  AL: Jefferson County (01073),58.1,502,"992,095",36.7,218,"606,196",111.2,282,"368,493",^,^,"17,406",^,^,0
